24141_1#7	s__Streptococcus oralis	species__Streptococcus oralis	species	Streptococcus oralis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis
21999_2#24	s__Enterococcus_D gallinarum	species__Enterococcus_D gallinarum	species	Enterococcus_D gallinarum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
21999_2#40	s__Enterococcus_D gallinarum	species__Enterococcus_D gallinarum	species	Enterococcus_D gallinarum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
ERR1212000	s__Enterococcus_D gallinarum	species__Enterococcus_D gallinarum	species	Enterococcus_D gallinarum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
GCA_010066845	s__Enterococcus_C asini	species__Enterococcus_C asini	species	Enterococcus_C asini	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C asini
GCA_009917315	s__Enterococcus_A xiangfangensis	species__Enterococcus_A xiangfangensis	species	Enterococcus_A xiangfangensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A xiangfangensis
ERR1211998	s__Enterococcus_B hirae	species__Enterococcus_B hirae	species	Enterococcus_B hirae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
GCA_004793905	s__Enterococcus_B hirae	species__Enterococcus_B hirae	species	Enterococcus_B hirae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
GCA_010066855	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_001689055	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_009910555	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_004793935	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
21999_2#37	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_004794115	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
21999_2#8	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_009649545	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_002221655	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_009649645	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_009649445	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_009649535	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_009649105	s__Limosilactobacillus reuteri_D	species__Limosilactobacillus reuteri_D	species	Limosilactobacillus reuteri_D	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_D
GCA_009649565	s__Limosilactobacillus reuteri	species__Limosilactobacillus reuteri	species	Limosilactobacillus reuteri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
GCA_004793875	s__Limosilactobacillus reuteri_D	species__Limosilactobacillus reuteri_D	species	Limosilactobacillus reuteri_D	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_D
GCA_004793535	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
ERR1211995	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
GCA_003576085	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
GCA_002358385	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
GCA_004793755	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
GCA_000364205	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
GCA_004125855	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
21999_2#31	s__Ligilactobacillus murinus	species__Ligilactobacillus murinus	species	Ligilactobacillus murinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus
