Database	Sample	Frac_unclassified	Count_unclassified
HUMAN-4594	C1_chow_A2_PL2_kneaddata.out	 76.52	4221296
HUMAN-4594	C3_chow_C10_PL34_kneaddata.out	 71.24	4983552
HUMAN-4594	C4_chow_C12_PL36_kneaddata.out	 74.15	5194883
HUMAN-4594	C5_chow_D2_PL38_kneaddata.out	 72.57	3143175
HUMAN-4594	DRR121530_1_kneaddata_paired.out	 47.67	975964
HUMAN-4594	DRR121531_1_kneaddata_paired.out	 48.37	1194111
HUMAN-4594	DRR121533_1_kneaddata_paired.out	 53.41	1146485
HUMAN-4594	DRR121535_1_kneaddata_paired.out	 53.28	899750
HUMAN-4594	DRR121536_1_kneaddata_paired.out	 45.98	1068357
HUMAN-4594	DRR121540_1_kneaddata_paired.out	 68.02	1384515
HUMAN-4594	E3_choline_E7_PL55_kneaddata.out	 57.14	3212097
HUMAN-4594	E4_choline_E9_PL57_kneaddata.out	 66.74	3178736
HUMAN-4594	E5_choline_E10_PL58_kneaddata.out	 66.12	4316777
HUMAN-4594	ERR1562573_1_kneaddata_paired.out	 57.27	3496590
HUMAN-4594	ERR1562574_1_kneaddata_paired.out	 54.10	3215172
HUMAN-4594	ERR1562575_1_kneaddata_paired.out	 56.75	2840342
HUMAN-4594	ERR1562577_1_kneaddata_paired.out	 54.80	2702709
HUMAN-4594	ERR1562580_1_kneaddata_paired.out	 53.36	1928125
HUMAN-4594	ERR1562581_1_kneaddata_paired.out	 55.55	3136431
HUMAN-4594	ERR1562582_1_kneaddata_paired.out	 49.92	2107742
HUMAN-4594	ERR1562587_1_kneaddata_paired.out	 58.88	3962761
HUMAN-4594	ERR1562588_1_kneaddata_paired.out	 56.95	2540529
HUMAN-4594	ERR1562591_1_kneaddata_paired.out	 59.95	3351667
HUMAN-4594	ERR1614695_1_kneaddata_paired.out	 72.26	2469602
HUMAN-4594	ERR1614696_1_kneaddata_paired.out	 72.14	2539430
HUMAN-4594	ERR1614701_1_kneaddata_paired.out	 67.64	2186241
HUMAN-4594	ERR1614704_1_kneaddata_paired.out	 68.20	2107242
HUMAN-4594	ERR1614710_1_kneaddata_paired.out	 74.54	1765199
HUMAN-4594	ERR1614712_1_kneaddata_paired.out	 74.30	1874296
HUMAN-4594	ERR1614722_1_kneaddata_paired.out	 70.16	616158
HUMAN-4594	ERR1614730_1_kneaddata_paired.out	 70.09	1688947
HUMAN-4594	ERR1725800_1_kneaddata_paired.out	 67.23	2667215
HUMAN-4594	ERR1725801_1_kneaddata_paired.out	 70.58	4973430
HUMAN-4594	ERR1725804_1_kneaddata_paired.out	 51.79	4916221
