Sample	Species	Taxonomy_ID	Taxonomy_level	Kraken_initial	Added_reads	Species_read_count	Species_read_fraction
C1_chow_A2_PL2_kneaddata	Firmicutes_A	14608	P	2781247	29585	2810832	0.60957
C1_chow_A2_PL2_kneaddata	Bacteroidota	4587	P	1534304	16546	1550850	0.33632
C1_chow_A2_PL2_kneaddata	Campylobacterota	8700	P	124809	5	124814	0.02707
C1_chow_A2_PL2_kneaddata	Desulfobacterota_A	11509	P	69891	195	70086	0.01520
C1_chow_A2_PL2_kneaddata	Firmicutes	12188	P	36029	2017	38046	0.00825
C1_chow_A2_PL2_kneaddata	Cyanobacteria	9876	P	7793	92	7885	0.00171
C1_chow_A2_PL2_kneaddata	Actinobacteriota	615	P	5787	50	5837	0.00127
C1_chow_A2_PL2_kneaddata	Proteobacteria	22518	P	2068	38	2106	0.00046
C1_chow_A2_PL2_kneaddata	Firmicutes_B	17289	P	263	23	286	0.00006
C1_chow_A2_PL2_kneaddata	Verrucomicrobiota	33333	P	184	15	199	0.00004
C1_chow_A2_PL2_kneaddata	Spirochaetota	32587	P	165	0	165	0.00004
C1_chow_A2_PL2_kneaddata	Firmicutes_C	17613	P	35	0	35	0.00001
C1_chow_A2_PL2_kneaddata	Firmicutes_I	18140	P	27	0	27	0.00001
C1_chow_A2_PL2_kneaddata	Deferribacterota	10822	P	12	0	12	0.00000
C1_chow_A2_PL2_kneaddata	Elusimicrobiota	11888	P	2	0	2	0.00000
C2_chow_A6_PL6_kneaddata	Firmicutes_A	14608	P	3234254	37393	3271647	0.51648
C2_chow_A6_PL6_kneaddata	Bacteroidota	4587	P	2595827	29390	2625217	0.41443
C2_chow_A6_PL6_kneaddata	Campylobacterota	8700	P	164971	7	164978	0.02604
C2_chow_A6_PL6_kneaddata	Desulfobacterota_A	11509	P	138336	321	138657	0.02189
C2_chow_A6_PL6_kneaddata	Firmicutes	12188	P	57711	2589	60300	0.00952
C2_chow_A6_PL6_kneaddata	Cyanobacteria	9876	P	37399	322	37721	0.00595
C2_chow_A6_PL6_kneaddata	Actinobacteriota	615	P	25544	317	25861	0.00408
C2_chow_A6_PL6_kneaddata	Proteobacteria	22518	P	7097	110	7207	0.00114
C2_chow_A6_PL6_kneaddata	Verrucomicrobiota	33333	P	1433	37	1470	0.00023
C2_chow_A6_PL6_kneaddata	Firmicutes_B	17289	P	856	84	940	0.00015
C2_chow_A6_PL6_kneaddata	Spirochaetota	32587	P	379	0	379	0.00006
C2_chow_A6_PL6_kneaddata	Firmicutes_I	18140	P	66	0	66	0.00001
C2_chow_A6_PL6_kneaddata	Firmicutes_C	17613	P	61	0	61	0.00001
C2_chow_A6_PL6_kneaddata	Deferribacterota	10822	P	21	0	21	0.00000
C2_chow_A6_PL6_kneaddata	Elusimicrobiota	11888	P	8	0	8	0.00000
C2_chow_A6_PL6_kneaddata	Thermotogota	33086	P	6	0	6	0.00000
C3_chow_C10_PL34_kneaddata	Firmicutes_A	14608	P	2915766	33488	2949254	0.50637
C3_chow_C10_PL34_kneaddata	Bacteroidota	4587	P	2316256	21242	2337498	0.40133
C3_chow_C10_PL34_kneaddata	Verrucomicrobiota	33333	P	391603	3898	395501	0.06791
C3_chow_C10_PL34_kneaddata	Desulfobacterota_A	11509	P	54415	193	54608	0.00938
C3_chow_C10_PL34_kneaddata	Firmicutes	12188	P	51309	2843	54152	0.00930
C3_chow_C10_PL34_kneaddata	Proteobacteria	22518	P	13407	94	13501	0.00232
C3_chow_C10_PL34_kneaddata	Actinobacteriota	615	P	10177	335	10512	0.00180
C3_chow_C10_PL34_kneaddata	Cyanobacteria	9876	P	5773	47	5820	0.00100
C3_chow_C10_PL34_kneaddata	Firmicutes_B	17289	P	2826	224	3050	0.00052
C3_chow_C10_PL34_kneaddata	Spirochaetota	32587	P	166	0	166	0.00003
C3_chow_C10_PL34_kneaddata	Campylobacterota	8700	P	119	0	119	0.00002
C3_chow_C10_PL34_kneaddata	Firmicutes_I	18140	P	41	0	41	0.00001
C3_chow_C10_PL34_kneaddata	Thermotogota	33086	P	32	0	32	0.00001
C3_chow_C10_PL34_kneaddata	Firmicutes_C	17613	P	27	0	27	0.00000
C3_chow_C10_PL34_kneaddata	Deferribacterota	10822	P	21	0	21	0.00000
C3_chow_C10_PL34_kneaddata	Elusimicrobiota	11888	P	3	0	3	0.00000
C4_chow_C12_PL36_kneaddata	Firmicutes_A	14608	P	2943125	38510	2981635	0.50818
C4_chow_C12_PL36_kneaddata	Bacteroidota	4587	P	2503114	20061	2523175	0.43004
C4_chow_C12_PL36_kneaddata	Verrucomicrobiota	33333	P	238435	2442	240877	0.04105
C4_chow_C12_PL36_kneaddata	Desulfobacterota_A	11509	P	49955	198	50153	0.00855
C4_chow_C12_PL36_kneaddata	Firmicutes	12188	P	44514	1926	46440	0.00792
C4_chow_C12_PL36_kneaddata	Proteobacteria	22518	P	12871	141	13012	0.00222
C4_chow_C12_PL36_kneaddata	Actinobacteriota	615	P	4982	142	5124	0.00087
C4_chow_C12_PL36_kneaddata	Cyanobacteria	9876	P	4017	35	4052	0.00069
C4_chow_C12_PL36_kneaddata	Firmicutes_B	17289	P	2312	190	2502	0.00043
C4_chow_C12_PL36_kneaddata	Spirochaetota	32587	P	133	0	133	0.00002
C4_chow_C12_PL36_kneaddata	Campylobacterota	8700	P	83	0	83	0.00001
C4_chow_C12_PL36_kneaddata	Thermotogota	33086	P	38	0	38	0.00001
C4_chow_C12_PL36_kneaddata	Deferribacterota	10822	P	27	0	27	0.00000
C4_chow_C12_PL36_kneaddata	Firmicutes_C	17613	P	26	0	26	0.00000
C4_chow_C12_PL36_kneaddata	Firmicutes_I	18140	P	23	0	23	0.00000
C4_chow_C12_PL36_kneaddata	Elusimicrobiota	11888	P	3	0	3	0.00000
C5_chow_D2_PL38_kneaddata	Bacteroidota	4587	P	3031873	25786	3057659	0.58131
C5_chow_D2_PL38_kneaddata	Firmicutes_A	14608	P	1984995	27470	2012465	0.38260
C5_chow_D2_PL38_kneaddata	Verrucomicrobiota	33333	P	72974	7475	80449	0.01529
C5_chow_D2_PL38_kneaddata	Desulfobacterota_A	11509	P	55109	125	55234	0.01050
C5_chow_D2_PL38_kneaddata	Firmicutes	12188	P	37871	3101	40972	0.00779
C5_chow_D2_PL38_kneaddata	Cyanobacteria	9876	P	5508	52	5560	0.00106
C5_chow_D2_PL38_kneaddata	Actinobacteriota	615	P	4131	40	4171	0.00079
C5_chow_D2_PL38_kneaddata	Proteobacteria	22518	P	2929	33	2962	0.00056
C5_chow_D2_PL38_kneaddata	Firmicutes_B	17289	P	158	10	168	0.00003
C5_chow_D2_PL38_kneaddata	Spirochaetota	32587	P	152	0	152	0.00003
C5_chow_D2_PL38_kneaddata	Campylobacterota	8700	P	46	0	46	0.00001
C5_chow_D2_PL38_kneaddata	Thermotogota	33086	P	40	0	40	0.00001
C5_chow_D2_PL38_kneaddata	Firmicutes_C	17613	P	16	0	16	0.00000
C5_chow_D2_PL38_kneaddata	Firmicutes_I	18140	P	14	0	14	0.00000
C5_chow_D2_PL38_kneaddata	Deferribacterota	10822	P	12	0	12	0.00000
C5_chow_D2_PL38_kneaddata	Elusimicrobiota	11888	P	3	0	3	0.00000
DRR014734_1_kneaddata_paired	Bacteroidota	4587	P	29361123	247224	29608347	0.79018
DRR014734_1_kneaddata_paired	Firmicutes_A	14608	P	7162609	43278	7205887	0.19231
DRR014734_1_kneaddata_paired	Firmicutes	12188	P	360685	3028	363713	0.00971
DRR014734_1_kneaddata_paired	Desulfobacterota_A	11509	P	125137	1257	126394	0.00337
DRR014734_1_kneaddata_paired	Deferribacterota	10822	P	59820	206	60026	0.00160
DRR014734_1_kneaddata_paired	Proteobacteria	22518	P	56263	194	56457	0.00151
DRR014734_1_kneaddata_paired	Actinobacteriota	615	P	30988	68	31056	0.00083
DRR014734_1_kneaddata_paired	Cyanobacteria	9876	P	11810	663	12473	0.00033
DRR014734_1_kneaddata_paired	Verrucomicrobiota	33333	P	3976	174	4150	0.00011
DRR014734_1_kneaddata_paired	Firmicutes_B	17289	P	501	17	518	0.00001
DRR014734_1_kneaddata_paired	Spirochaetota	32587	P	494	1	495	0.00001
DRR014734_1_kneaddata_paired	Campylobacterota	8700	P	372	0	372	0.00001
DRR014734_1_kneaddata_paired	Firmicutes_C	17613	P	291	0	291	0.00001
DRR014734_1_kneaddata_paired	Firmicutes_I	18140	P	106	0	106	0.00000
DRR014734_1_kneaddata_paired	Elusimicrobiota	11888	P	30	0	30	0.00000
DRR014734_1_kneaddata_paired	Thermotogota	33086	P	15	0	15	0.00000
DRR014782_1_kneaddata_paired	Bacteroidota	4587	P	25071953	194135	25266088	0.74703
DRR014782_1_kneaddata_paired	Firmicutes_A	14608	P	7468625	34958	7503583	0.22185
DRR014782_1_kneaddata_paired	Firmicutes	12188	P	513720	3210	516930	0.01528
DRR014782_1_kneaddata_paired	Deferribacterota	10822	P	223627	854	224481	0.00664
DRR014782_1_kneaddata_paired	Desulfobacterota_A	11509	P	217806	2567	220373	0.00652
DRR014782_1_kneaddata_paired	Proteobacteria	22518	P	46346	146	46492	0.00137
DRR014782_1_kneaddata_paired	Actinobacteriota	615	P	22278	51	22329	0.00066
DRR014782_1_kneaddata_paired	Cyanobacteria	9876	P	10900	614	11514	0.00034
DRR014782_1_kneaddata_paired	Firmicutes_B	17289	P	7156	269	7425	0.00022
DRR014782_1_kneaddata_paired	Campylobacterota	8700	P	881	0	881	0.00003
DRR014782_1_kneaddata_paired	Spirochaetota	32587	P	818	2	820	0.00002
DRR014782_1_kneaddata_paired	Verrucomicrobiota	33333	P	636	32	668	0.00002
DRR014782_1_kneaddata_paired	Firmicutes_C	17613	P	257	0	257	0.00001
DRR014782_1_kneaddata_paired	Firmicutes_I	18140	P	213	0	213	0.00001
DRR014782_1_kneaddata_paired	Thermotogota	33086	P	43	0	43	0.00000
DRR014782_1_kneaddata_paired	Elusimicrobiota	11888	P	36	0	36	0.00000
DRR014783_1_kneaddata_paired	Bacteroidota	4587	P	24851835	237637	25089472	0.70103
DRR014783_1_kneaddata_paired	Firmicutes_A	14608	P	6310319	35850	6346169	0.17732
DRR014783_1_kneaddata_paired	Firmicutes	12188	P	3751151	16488	3767639	0.10527
DRR014783_1_kneaddata_paired	Proteobacteria	22518	P	419938	869	420807	0.01176
DRR014783_1_kneaddata_paired	Deferribacterota	10822	P	70143	308	70451	0.00197
DRR014783_1_kneaddata_paired	Desulfobacterota_A	11509	P	69808	1055	70863	0.00198
DRR014783_1_kneaddata_paired	Actinobacteriota	615	P	8590	28	8618	0.00024
DRR014783_1_kneaddata_paired	Cyanobacteria	9876	P	8017	514	8531	0.00024
DRR014783_1_kneaddata_paired	Firmicutes_B	17289	P	4233	183	4416	0.00012
DRR014783_1_kneaddata_paired	Spirochaetota	32587	P	685	2	687	0.00002
DRR014783_1_kneaddata_paired	Campylobacterota	8700	P	576	0	576	0.00002
DRR014783_1_kneaddata_paired	Verrucomicrobiota	33333	P	569	34	603	0.00002
DRR014783_1_kneaddata_paired	Firmicutes_I	18140	P	230	0	230	0.00001
DRR014783_1_kneaddata_paired	Firmicutes_C	17613	P	129	0	129	0.00000
DRR014783_1_kneaddata_paired	Thermotogota	33086	P	37	0	37	0.00000
DRR014783_1_kneaddata_paired	Elusimicrobiota	11888	P	28	0	28	0.00000
DRR014784_1_kneaddata_paired	Firmicutes_A	14608	P	22791773	116759	22908532	0.50335
DRR014784_1_kneaddata_paired	Bacteroidota	4587	P	19590905	155985	19746890	0.43389
