Study,Sample,Mouse,Vendor (full),Vendor name,Location [Geographical region (city/state)],Country ,Centre Name,Institute,Country,Location [Geographical region (city/state)],Continent,Compartment,Alternative sample name,Biosample number,Diet,Dietary Supplement,Age,Sex,Barrier,Publication,Genetic background,Strain,Genotype,Notes,Library Layout,Library Selection,Treatment,Exclude,Luminal contents?,Ex-GF,
PRJDB1459,DRR014734,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00004159,SAMD00004159,chow,Arginine+LKM512,18 months,Female,,https://www.nature.com/articles/srep04548,ICR,ICR,Wildtype,,PAIRED,PCR,Probiotic ,,Faecal,,
PRJDB1460,DRR014782,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00008975,SAMD00008975,Chow,Arginine+LKM512,18 months,Female,,,ICR,ICR,Wildtype,,PAIRED,PCR,Probiotic ,,Faecal,,
PRJDB1461,DRR014783,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00006057,SAMD00006057,Chow,Arginine+LKM512,18 months,Female,,,ICR,ICR,Wildtype,,PAIRED,PCR,Probiotic ,,Faecal,,
PRJDB1462,DRR014784,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00008873,SAMD00008873,Chow,PBS,18 months,Female,,,ICR,ICR,Wildtype,,PAIRED,PCR,Control,,Faecal,,
PRJDB1463,DRR014785,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00013331,SAMD00013331,Chow,PBS,18 months,Female,,,ICR,ICR,Wildtype,,PAIRED,PCR,Control,,Faecal,,
PRJDB1464,DRR014786,ICR,"Charles River Laboratories, Yokohama",Charles River Laboratories,"Yokohama, Kanagawa",Japan ,KYODO_MILK,Dairy Science and Technology Institute,Japan ,Tokyo,Asia ,Faeces,SAMD00004082,SAMD00004082,Chow,PBS,18 months,Female,,,ICR,ICR,Wildtype,,PAIRED,PCR,Control,,Faecal,,
PRJDB6620,DRR121530,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108471,SAMD00108471,Chow,None,12 weeks,Female,,https://www.nature.com/articles/s41586-020-2634-9?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29&utm_content=Google+Feedfetcher,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121531,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108471,SAMD00108471,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121532,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108471,SAMD00108471,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121533,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108472,SAMD00108472,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121534,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108472,SAMD00108472,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121535,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108472,SAMD00108472,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121536,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108473,SAMD00108473,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121537,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108473,SAMD00108473,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121538,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108473,SAMD00108473,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121539,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108474,SAMD00108474,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121540,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108474,SAMD00108474,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121541,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108474,SAMD00108474,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121542,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108475,SAMD00108475,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121543,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108475,SAMD00108475,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJDB6620,DRR121544,C57BL/6,CLEA,CLEA,Tokyo,Japan ,RIKEN_IMS,RIKEN Yokohoma Campus ,Japan ,"Yokohama, Kanagawa",Asia ,Small intestine,SAMD00108475,SAMD00108475,Chow,None,12 weeks,Female,,,C57BL/6,C57BL/6,Wildtype,,PAIRED,RANDOM,Control,,Luminal,,
PRJEB10308,ERR982796,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504079,SAMEA3504079,Chow,None,17 weeks,Male,,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-017-0258-6#Sec8,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982807,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504080,SAMEA3504080,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982818,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504081,SAMEA3504081,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
