GCA_010066855	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_001689055	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_009910555	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
GCA_004793935	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
21999_2#37	s__Enterococcus faecalis	species__Enterococcus faecalis	species	Enterococcus faecalis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
ERR1211999	s__Staphylococcus xylosus	species__Staphylococcus xylosus	species	Staphylococcus xylosus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
21999_2#30	s__Staphylococcus xylosus	species__Staphylococcus xylosus	species	Staphylococcus xylosus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
31664_4#39	s__Bacillus_AC sp001076885	species__Bacillus_AC sp001076885	species	Bacillus_AC sp001076885	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_AC;s__Bacillus_AC sp001076885
31664_4#108	s__Bacillus_AC sp001076885	species__Bacillus_AC sp001076885	species	Bacillus_AC sp001076885	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_AC;s__Bacillus_AC sp001076885
ERR1212027	s__Bacillus_A cereus	species__Bacillus_A cereus	species	Bacillus_A cereus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus
GCA_003612265	s__Bacillus_A thuringiensis	species__Bacillus_A thuringiensis	species	Bacillus_A thuringiensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A thuringiensis
GCA_003612615	s__Virgibacillus sp003612345	species__Virgibacillus sp003612345	species	Virgibacillus sp003612345	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus sp003612345
GCA_001688625	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GCA_000492175	s__Lawsonibacter sp000492175	species__Lawsonibacter sp000492175	species	Lawsonibacter sp000492175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000492175
