Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000003	Retinoid X receptor/HNF4	interpro	family		PR00545	GO:0003677,GO:0003707,GO:0008270,GO:0006355,GO:0005634
IPR000006	Metallothionein, vertebrate	interpro	family		PR00860,PTHR23299	GO:0046872
IPR000009	Protein phosphatase 2A regulatory subunit PR55	interpro	family		PR00600,PIRSF037309,PTHR11871	GO:0019888,GO:0000159
IPR000011	Ubiquitin/SUMO-activating enzyme E1	interpro	family		PR01849	GO:0008641,GO:0006464
IPR000012	Retroviral VpR/VpX protein	interpro	family		PF00522,PR00444,MF_04080	GO:0019058,GO:0042025
IPR000013	Peptidase M7, snapalysin	interpro	family		PR00787,PIRSF016573,PF02031	GO:0004222,GO:0008270,GO:0006508,GO:0005576
IPR000015	Outer membrane usher protein	interpro	family		PF00577,PTHR30451	GO:0015473,GO:0009297,GO:0016020
IPR000018	P2Y purinoceptor 4	interpro	family		PR01066,PTHR24231:SF21	GO:0045028,GO:0007186,GO:0030321,GO:0016021
IPR000021	Hok/gef cell toxic protein	interpro	family		PF01848,PR00281	GO:0016020
IPR000025	Melatonin receptor family	interpro	family		PR00857	GO:0008502,GO:0007186,GO:0016021
IPR000026	Guanine-specific ribonuclease N1/T1/U2	interpro	family		PF00545,PIRSF037430	GO:0003723,GO:0004521
IPR000030	PPE family	interpro	family		PF00823	
IPR000036	Peptidase A26, omptin	interpro	family		PR00482,PIRSF001522,PF01278	GO:0004175,GO:0006508,GO:0009279
IPR000037	SsrA-binding protein	interpro	family		PF01668,TIGR00086,MF_00023,PTHR30308,cd09294	GO:0003723
IPR000039	Ribosomal protein L18e	interpro	family		PTHR10934	GO:0003735,GO:0006412,GO:0005840
IPR000040	Acute myeloid leukemia 1 protein (AML1)/Runt	interpro	family		PR00967,PTHR11950	GO:0003677,GO:0005524,GO:0006355,GO:0005634
IPR000043	Adenosylhomocysteinase-like	interpro	family		TIGR00936,PF05221,PTHR23420,MF_00563,PIRSF001109,SM00996,cd00401	
IPR000044	Uncharacterised lipoprotein MG045	interpro	family		PR00905	GO:0016020
IPR000046	Neurokinin NK1 receptor	interpro	family		PR01024	GO:0004995,GO:0007186,GO:0005886,GO:0016021
IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase	interpro	family		PTHR10515,PIRSF000478	GO:0004645,GO:0006206
IPR000054	Ribosomal protein L31e	interpro	family		PTHR10956,PF01198,MF_00410,SM01380,cd00463	GO:0003735,GO:0006412,GO:0005840
IPR000056	Ribulose-phosphate 3-epimerase-like	interpro	family		PTHR11749,TIGR01163,PF00834,PS01085,PS01086,cd00429	GO:0016857,GO:0005975
IPR000057	CXC chemokine receptor 2	interpro	family		PR00573	GO:0016494,GO:0019959,GO:0006935,GO:0007186,GO:0016021
IPR000060	BCCT transporter family	interpro	family		PF02028,TIGR00842,PTHR30047	GO:0022857,GO:0071705,GO:0016020
IPR000065	Leptin	interpro	family		PF02024,PR00495,PTHR11724,PIRSF001837	GO:0005179,GO:0007165,GO:0005576
IPR000067	Flagellar M-ring protein FliF	interpro	family		PR01009,TIGR00206,PTHR30046:SF0,PIRSF004862	GO:0003774,GO:0071973,GO:0009431
IPR000068	GPCR, family 3, extracellular calcium-sensing receptor-related	interpro	family		PR00592,PTHR24061	GO:0004930,GO:0007186,GO:0016021
IPR000074	Apolipoprotein A/E	interpro	family		PF01442	GO:0008289,GO:0006869,GO:0042157,GO:0005576
IPR000076	K/Cl co-transporter	interpro	family		PR01081	GO:0015379,GO:0006811,GO:0016021
IPR000077	Ribosomal protein L39e	interpro	family		PF00832,PTHR19970,MF_00629	GO:0003735,GO:0006412,GO:0005840
IPR000079	High mobility group protein HMGN	interpro	family		PR00925,SM00527,PF01101,PS00355	GO:0031492,GO:0000785,GO:0005634
IPR000085	Bacterial DNA recombination protein RuvA	interpro	family		TIGR00084,MF_00031,PTHR33796	GO:0003678,GO:0006281,GO:0006310
IPR000090	Flagellar motor switch protein FliG	interpro	family		PR00954,TIGR00207,PIRSF003161,PTHR30534	GO:0003774,GO:0006935,GO:0071973,GO:0009288
IPR000091	Huntingtin	interpro	family		PR00375	GO:0005634,GO:0005737
IPR000092	Polyprenyl synthetase	interpro	family		PF00348	GO:0008299
IPR000093	DNA recombination protein RecR	interpro	family		TIGR00615,MF_00017,PTHR30446	GO:0003677,GO:0006281,GO:0006310
IPR000096	Serum amyloid A protein	interpro	family		PF00277,PR00306,SM00197,PIRSF002472,PS00992	GO:0005576
IPR000098	Interleukin-10	interpro	family		PR01294	GO:0005125,GO:0006955,GO:0005576
IPR000100	Ribonuclease P	interpro	family		PF00825,TIGR00188,MF_00227,PTHR33992	GO:0000049,GO:0004526,GO:0008033
IPR000101	Gamma-glutamyltranspeptidase	interpro	family		TIGR00066,PS00462,PTHR11686	GO:0036374,GO:0006751
IPR000104	Antifreeze protein, type I	interpro	family		PR00308	GO:0050825
IPR000105	Mu opioid receptor	interpro	family		PR00537	GO:0004979,GO:0007186,GO:0016021
IPR000109	Proton-dependent oligopeptide transporter family	interpro	family		PTHR11654,PF00854	GO:0022857,GO:0055085,GO:0016020
IPR000110	Ribosomal protein S1	interpro	family		TIGR00717,PIRSF002111	GO:0003723,GO:0003735,GO:0006412,GO:0005840
IPR000112	GPCR, family 3, metabotropic glutamate receptor 6	interpro	family		PR01056	GO:0007186,GO:0016021
IPR000114	Ribosomal protein L16	interpro	family		PR00060,TIGR01164,PTHR12220,MF_01342	GO:0003735,GO:0019843,GO:0006412
