MGBC000001	MGBC000001	g__Schaedlerella
MGBC000002	MGBC129157	s__CAG-485 sp002362485
MGBC000003	MGBC000003	g__Schaedlerella
MGBC000005	MGBC000328	s__Phocaeicola vulgatus
MGBC000006	MGBC000320	s__Schaedlerella sp000364245
MGBC000009	MGBC000111	g__Dorea
MGBC000011	MGBC000011	s__Bacteroides acidifaciens
MGBC000012	MGBC162466	s__Muribaculum sp002358615
MGBC000013	MGBC000013	s__Lactobacillus intestinalis
MGBC000015	MGBC103140	s__Blautia coccoides_A
MGBC000016	MGBC103503	s__Enterococcus_D gallinarum
MGBC000018	MGBC000018	s__Proteus mirabilis
MGBC000019	MGBC000019	s__Klebsiella pneumoniae
MGBC000020	MGBC000020	s__Citrobacter_A rodentium
MGBC000022	MGBC109852	s__CAG-485 sp002493045
MGBC000023	MGBC000574	s__Staphylococcus xylosus
MGBC000027	MGBC000384	s__Limosilactobacillus reuteri
MGBC000028	MGBC115029	g__Dorea
MGBC000029	MGBC000029	s__Anaerostipes sp000508985
MGBC000030	MGBC000359	s__Enterococcus faecalis
MGBC000032	MGBC111853	s__CAG-485 sp002361215
MGBC000034	MGBC103503	s__Enterococcus_D gallinarum
MGBC000037	MGBC000037	s__Escherichia coli
MGBC000040	MGBC135302	g__1XD8-76
MGBC000041	MGBC000041	g__Dorea
MGBC000042	MGBC000042	g__Emergencia
MGBC000044	MGBC104650	s__Muribaculum sp002473395
MGBC000047	MGBC105567	s__Ligilactobacillus murinus
MGBC000049	MGBC134540	g__Parasutterella
MGBC000050	MGBC000050	s__Alistipes timonensis
MGBC000052	MGBC135575	s__Bacteroides sp002491635
MGBC000054	MGBC129157	s__CAG-485 sp002362485
MGBC000055	MGBC000348	s__Faecalibaculum rodentium
MGBC000056	MGBC000377	s__Muribaculum intestinale
MGBC000057	MGBC000112	g__Eubacterium_F
MGBC000058	MGBC131161	f__Lachnospiraceae
MGBC000059	MGBC000220	g__Parvibacter
MGBC000064	MGBC128351	s__Lactobacillus johnsonii
MGBC000066	MGBC000334	s__Adlercreutzia caecimuris
MGBC000068	MGBC115827	s__Parabacteroides distasonis
MGBC000069	MGBC104191	g__Oscillibacter
MGBC000071	MGBC000357	s__Turicimonas muris
MGBC000072	MGBC120535	s__Duncaniella sp001689575
MGBC000073	MGBC116472	s__Alistipes sp002362235
MGBC000074	MGBC000395	s__CAG-56 sp004793585
MGBC000076	MGBC163421	g__UBA2882
MGBC000077	MGBC144733	s__Bacteroides caecimuris
MGBC000078	MGBC000078	f__Lachnospiraceae
MGBC000080	MGBC000080	g__Hungatella_A
MGBC000081	MGBC000081	s__Staphylococcus nepalensis
MGBC000082	MGBC000431	g__Streptococcus
MGBC000083	MGBC000083	g__Dorea
MGBC000084	MGBC117094	g__Dorea
MGBC000087	MGBC116812	s__Bifidobacterium animalis
MGBC000089	MGBC000089	g__Dorea
MGBC000092	MGBC163752	g__Schaedlerella
MGBC000094	MGBC101916	g__Acutalibacter
MGBC000100	MGBC000100	g__Anaerotruncus
MGBC000103	MGBC163564	g__ASF356
MGBC000110	MGBC000110	s__Anaerotruncus sp003612625
MGBC000111	MGBC000111	g__Dorea
MGBC000112	MGBC000112	g__Eubacterium_F
MGBC000113	MGBC000113	f__Lachnospiraceae
MGBC000114	MGBC105132	g__UBA7182
