GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME158495	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME000236	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME158803	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME158628	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME000161	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME000275	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME159695	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME172969	s__Lawsonibacter sp900066645	species__Lawsonibacter sp900066645	species	Lawsonibacter sp900066645	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645
GUT_GENOME000250	s__Anaerostipes sp900066705	species__Anaerostipes sp900066705	species	Anaerostipes sp900066705	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705
GUT_GENOME012419	s__Anaerostipes sp900066705	species__Anaerostipes sp900066705	species	Anaerostipes sp900066705	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705
GUT_GENOME000271	s__Pseudoflavonifractor capillosus	species__Pseudoflavonifractor capillosus	species	Pseudoflavonifractor capillosus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus
GUT_GENOME096130	s__Pseudoflavonifractor capillosus	species__Pseudoflavonifractor capillosus	species	Pseudoflavonifractor capillosus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus
GUT_GENOME064885	s__Anaerobutyricum hallii_A	species__Anaerobutyricum hallii_A	species	Anaerobutyricum hallii_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii_A
GUT_GENOME203672	s__Anaerobutyricum hallii_A	species__Anaerobutyricum hallii_A	species	Anaerobutyricum hallii_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii_A
GUT_GENOME185829	g__Lawsonibacter	genus__Lawsonibacter	genus	Lawsonibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
GUT_GENOME193034	g__Lawsonibacter	genus__Lawsonibacter	genus	Lawsonibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
GUT_GENOME000459	g__Lawsonibacter	genus__Lawsonibacter	genus	Lawsonibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
GUT_GENOME250353	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME247858	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME194228	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME148637	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME034340	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME186998	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME049825	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME249438	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME033843	s__Flavonifractor plautii	species__Flavonifractor plautii	species	Flavonifractor plautii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GUT_GENOME000537	s__Bacilliculturomica massiliensis	species__Bacilliculturomica massiliensis	species	Bacilliculturomica massiliensis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Bacilliculturomica;s__Bacilliculturomica massiliensis
GUT_GENOME243005	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME000584	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME244127	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME171323	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME261495	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME244142	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME077448	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME029195	s__Peptoniphilus_A harei_A	species__Peptoniphilus_A harei_A	species	Peptoniphilus_A harei_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A
GUT_GENOME173048	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME171616	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME007152	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME078379	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME284875	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME000586	s__Eubacterium callanderi	species__Eubacterium callanderi	species	Eubacterium callanderi	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi
GUT_GENOME000603	f__Anaerovoracaceae	family__Anaerovoracaceae	family	Anaerovoracaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__
GUT_GENOME000611	g__Peptoniphilus_C	genus__Peptoniphilus_C	genus	Peptoniphilus_C	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__
GUT_GENOME183171	s__Blautia_A sp900066165	species__Blautia_A sp900066165	species	Blautia_A sp900066165	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165
GUT_GENOME140242	s__Mediterraneibacter_A butyricigenes	species__Mediterraneibacter_A butyricigenes	species	Mediterraneibacter_A butyricigenes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__Mediterraneibacter_A butyricigenes
