GUT_GENOME000035.HUMAN	13927	10107	4642	HUMAN	GUT_GENOME000035	g__Bacteroides	genus__Bacteroides	genus	Bacteroides	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000057.HUMAN	4479	4207	2972	HUMAN	GUT_GENOME000057	g__Enterobacter	genus__Enterobacter	genus	Enterobacter	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__
GUT_GENOME000319.HUMAN	2895	2433	1448	HUMAN	GUT_GENOME000319	g__Exiguobacterium	genus__Exiguobacterium	genus	Exiguobacterium	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__
GUT_GENOME000459.HUMAN	4023	2981	1596	HUMAN	GUT_GENOME000459	g__Lawsonibacter	genus__Lawsonibacter	genus	Lawsonibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
GUT_GENOME000479.HUMAN	3917	3159	1636	HUMAN	GUT_GENOME000457	g__UBA7160	genus__UBA7160	genus	UBA7160	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__
GUT_GENOME000484.HUMAN	5274	3679	1896	HUMAN	GUT_GENOME000484	g__Collinsella	genus__Collinsella	genus	Collinsella	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME000496.HUMAN	4791	4102	2026	HUMAN	GUT_GENOME000496	g__GCA-900066755	genus__GCA-900066755	genus	GCA-900066755	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__
GUT_GENOME000534.HUMAN	3667	2995	1647	HUMAN	GUT_GENOME000534	g__Terrisporobacter	genus__Terrisporobacter	genus	Terrisporobacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__
GUT_GENOME000565.HUMAN	4376	3983	2857	HUMAN	GUT_GENOME000565	g__Kluyvera	genus__Kluyvera	genus	Kluyvera	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__
GUT_GENOME000572.HUMAN	1883	1610	1088	HUMAN	GUT_GENOME000572	g__Streptococcus	genus__Streptococcus	genus	Streptococcus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
GUT_GENOME000573.HUMAN	3298	2763	1566	HUMAN	GUT_GENOME000573	g__Clostridium_J	genus__Clostridium_J	genus	Clostridium_J	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__
GUT_GENOME000575.HUMAN	3249	2683	1585	HUMAN	GUT_GENOME000575	g__Exiguobacterium_A	genus__Exiguobacterium_A	genus	Exiguobacterium_A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__
GUT_GENOME000582.HUMAN	2820	2412	1325	HUMAN	GUT_GENOME000582	f__Lachnospiraceae	family__Lachnospiraceae	family	Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
GUT_GENOME000603.HUMAN	4033	3423	1762	HUMAN	GUT_GENOME000603	f__Anaerovoracaceae	family__Anaerovoracaceae	family	Anaerovoracaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__
GUT_GENOME000604.HUMAN	5570	4738	2145	HUMAN	GUT_GENOME000604	g__UBA7096	genus__UBA7096	genus	UBA7096	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7096;s__
GUT_GENOME000611.HUMAN	1778	1566	915	HUMAN	GUT_GENOME000611	g__Peptoniphilus_C	genus__Peptoniphilus_C	genus	Peptoniphilus_C	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__
GUT_GENOME000614.HUMAN	2825	2373	1303	HUMAN	GUT_GENOME000614	g__Beduini	genus__Beduini	genus	Beduini	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Beduini;s__
GUT_GENOME000634.HUMAN	3894	3165	1648	HUMAN	GUT_GENOME000634	g__UBA7160	genus__UBA7160	genus	UBA7160	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__
GUT_GENOME000700.HUMAN	4159	3651	1876	HUMAN	GUT_GENOME000700	g__Hungatella	genus__Hungatella	genus	Hungatella	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__
GUT_GENOME000729.HUMAN	5759	4833	2382	HUMAN	GUT_GENOME000729	g__Hungatella	genus__Hungatella	genus	Hungatella	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__
GUT_GENOME005886.HUMAN	2813	2364	1303	HUMAN	GUT_GENOME005886	g__CAG-95	genus__CAG-95	genus	CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__
GUT_GENOME006618.HUMAN	1695	1428	862	HUMAN	GUT_GENOME006618	g__Collinsella	genus__Collinsella	genus	Collinsella	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME007505.HUMAN	2109	1777	1014	HUMAN	GUT_GENOME007505	g__CAG-485	genus__CAG-485	genus	CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__
GUT_GENOME007506.HUMAN	1295	1041	637	HUMAN	GUT_GENOME007506	g__UBA4675	genus__UBA4675	genus	UBA4675	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA4675;s__
GUT_GENOME007523.HUMAN	1626	1469	1009	HUMAN	GUT_GENOME007523	g__CAG-521	genus__CAG-521	genus	CAG-521	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__
GUT_GENOME007573.HUMAN	2267	1953	1072	HUMAN	GUT_GENOME007573	g__Parabacteroides	genus__Parabacteroides	genus	Parabacteroides	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
GUT_GENOME007598.HUMAN	3723	3028	1611	HUMAN	GUT_GENOME007598	f__Lachnospiraceae	family__Lachnospiraceae	family	Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
GUT_GENOME007607.HUMAN	2339	1895	1038	HUMAN	GUT_GENOME007545	g__CAG-873	genus__CAG-873	genus	CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__
GUT_GENOME007693.HUMAN	2398	2101	1260	HUMAN	GUT_GENOME007693	g__UBA7182	genus__UBA7182	genus	UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__
GUT_GENOME007878.HUMAN	2143	1595	761	HUMAN	GUT_GENOME007878	g__UBA4636	genus__UBA4636	genus	UBA4636	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA4636;s__
GUT_GENOME007882.HUMAN	2323	1951	1058	HUMAN	GUT_GENOME007882	g__UMGS882	genus__UMGS882	genus	UMGS882	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UMGS882;s__
GUT_GENOME008080.HUMAN	3002	2290	1139	HUMAN	GUT_GENOME008080	g__UMGS1537	genus__UMGS1537	genus	UMGS1537	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1212;f__UBA1255;g__UMGS1537;s__
GUT_GENOME008083.HUMAN	1670	1260	697	HUMAN	GUT_GENOME008083	g__CAG-631	genus__CAG-631	genus	CAG-631	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-631;g__CAG-631;s__
